book_title,book_description,book_rating,book_price,book_authors,book_features,book_cover_url
Seçmə şeirlər (Molla Vəli Vidadi),"Molla Vəli Vidadinin 18-ci əsr Azərbaycan poeziyasında xüsusi yeri vardır. Onun qoşmaları, qəzəlləri, müxəmməsləri öz bədii dəyəri ilə seçilir. Şairin yaradıcılığı üç əsrdən artıqdır ki,",5,4.79 AZN,Molla Vəli Vidadi,Bərk,https://static.insales-cdn.com/images/products/1/5323/782865611/medium_MV_Vidadi_SS_qapaq.jpg
Seçmə şeirlər (Süleyman Rüstəm),"Azərbaycanın Xalq şairi, həm əruz, həm heca vəznində gözəl şeirlər yazan, lirikasında vətən, torpaq, övlad, sevgi kimi əbədi mövzulara ilhamla söz çələngi hörən Süleyman Rüstəmin bu kitabına şairin",5,9.59 AZN,Süleyman Rüstəm,Bərk,https://static.insales-cdn.com/images/products/1/6565/782866853/medium_Suleyman_Rustem_SS_qapaq.jpg
Sevgili,Toni Morrison ,,12.79 AZN,Toni Morrison,Yumşaq,https://static.insales-cdn.com/images/products/1/1015/783139831/medium_SEVGILI_qapaq.jpg
İncillə yaşanan ömür,"İsrailin hərbi və dövlət xadimi Moşe Dayan “İncillə yaşanan ömür” kitabında yəhudilərin ilan mələyən səhralıqlarda, İncildə adı çəkilən məkanlarda hansı çətinliklərdən keçərək yurd salmalarından, güclü İsrail ordusunun formalaşmasından, sağ",,9.59 AZN,Moşe Dayan,Yumşaq,https://static.insales-cdn.com/images/products/1/3996/783142812/medium_INCILLE_YASHAYAN_OMUR_qapaq.jpg
Tehranda kitab dükanı, Wall Street Journal tərəfindən ,5,11.19 AZN,Marjan Kamali,Yumşaq,https://static.insales-cdn.com/images/products/1/6339/780720323/medium_2023-10-18-15-11-221697627482.jpg
"Müdhiş Psixologiya - ""Yox"" deyə bilmək sənəti","“Azadlıq” düşündüyünüz kimi “sərhədsiz” olmaq demək deyil, əksinə, aydın və möhkəm sərhədlərə malik olmaq deməkdir. Başqa sözlə desək, ",5,7.19 AZN,,Yumşaq,https://static.insales-cdn.com/images/products/1/7041/780721025/medium_YOX_DEYE_BILMEK_qapaq.jpg
Müdhiş Psixologiya - Qoy həyat olduğu kimi gəlsin,"Sevdiyiniz insanı çox qısqanırsınız?Bəs sevginiz uğrunda özünüzü qurban verib fədakarlıq edirsiniz?Sevdiyiniz üçün həmişə nəyəsə dözür, əziyyət çəkir, özünüzü çarəsiz hiss edirsiniz? Sevgi dözmək, həsr etmək və özünü",5,7.99 AZN,,Yumşaq,https://static.insales-cdn.com/images/products/1/7701/780721685/medium_HEYAT_OLDUGU_KIMI_qapaq.jpg
Seçmə şeirlər (Vaqif Səmədoğlu),"“Qanun” nəşriyyatının yeni layihəsi “Azərbaycan poeziyası, seçmə şeirlər” adlanır. Seriyadan sizə təqdim etdiyimiz bu kitaba sevilən və unudulmaz Vaqif Səmədoğlunun seçilmiş şeirləri daxil edilib. Kitabın səhifələri arasında şairin müxtəlif",5,9.59 AZN,Vaqif Səmədoğlu,Bərk,https://static.insales-cdn.com/images/products/1/4341/778309877/medium_semedoglu.jpg
Axşam narahatlığı,"Bir yeniyetmənin dilindən yazılan və böyüklərin ibrət götürməsini nəzərdə tutan sarsıdıcı kitabdır. Yas, fermerliklə məğul olan ailəsi ilə Niderlandın ucqar kəndlərindən birində yaşayır. Bir qış",5,9.59 AZN,Marieke Lukas Riyneveld,Yumşaq,https://static.insales-cdn.com/images/products/1/5827/780023491/medium_2023-10-26-20-50-371698339037.jpg
Yazı sənəti,"Topluda M.Tven, S.Bovuar, V.Nabokov, E.Heminquey, H.Murakami, R.Bredberi, K.Vonnequt, Ç.Palanik kimi dünyanın qüdrətli söz ustalarının yaradıcılıq sirləri, tarixin gedişinə təsir göstərmiş yazıçılar və kitabları, E.Dayneken, M.L.Kinq,",5,7.99 AZN,,Yumşaq,https://static.insales-cdn.com/images/products/1/7344/780033200/medium_2023-10-11-14-19-461697019586.jpg
Seçmə hekayələr. Frensis Skot Fitscerald,"Bu kitabda “Möhtəşəm Qetsbi” romanının müəllifi, Amerika ədəbiyyatının ən görkəmli nümayəndələrindən biri Frensis Skott Fitsceraldın seçmə hekayələri yer alıb. “Qanun” nəşriyyatının yeni layihəsi “Hekayə vaxtı” adlanır. Amerikan düşüncə",5,7.99 AZN,Frensis Skot Fitscerald,Yumşaq,https://static.insales-cdn.com/images/products/1/5215/780055647/medium_FRANCIS_SCOTT_HEKAYE_VAXTI_Seriya_qapaqlar.jpg
